letter
a
a
a
b
b
b
c
c
c
d
d
d
e
e
e
f
f
f
g
g
g
h
h
h
i
i
i
k
k
k
l
l
l
m
m
m
n
n
n
o
o
o
p
p
p
q
q
q
r
r
r
a
a
m
t
t
t
u
u
u
v
v
v
w
w
w
x
x
x
y
y
y
a
q
r
w
h
